dataset,algorithm,n,repetitions,avg_us,median_us,avg_char_comparisons,avg_char_inspections
random,standard_quicksort,1400,7,6118.257,6122.600,212974.000,425948.000
random,standard_mergesort,1400,7,1762.443,1739.400,17593.000,35186.000
random,ternary_string_quicksort,1400,7,838.243,730.600,13405.000,14452.000
random,lcp_string_mergesort,1400,7,11032.486,10966.500,11691.000,23382.000
random,msd_radix_sort,1400,7,1747.714,1535.100,0.000,6174.000
random,msd_radix_sort_with_switch,1400,7,1280.129,954.100,4778.000,8559.000
random,standard_quicksort,1500,7,8454.843,8051.000,228558.000,457116.000
random,standard_mergesort,1500,7,7774.457,1874.500,19107.000,38214.000
random,ternary_string_quicksort,1500,7,1683.529,1008.500,16049.000,17186.000
random,lcp_string_mergesort,1500,7,18607.500,17871.900,12646.000,25292.000
random,msd_radix_sort,1500,7,3204.343,3276.100,0.000,6660.000
random,msd_radix_sort_with_switch,1500,7,890.343,835.900,5242.000,9301.000
random,standard_quicksort,1600,7,8755.600,8378.800,248791.000,497582.000
random,standard_mergesort,1600,7,2623.500,2616.700,20699.000,41398.000
random,ternary_string_quicksort,1600,7,929.643,899.700,16600.000,17796.000
random,lcp_string_mergesort,1600,7,26172.243,25914.300,13646.000,27292.000
random,msd_radix_sort,1600,7,3941.757,3333.200,0.000,7132.000
random,msd_radix_sort_with_switch,1600,7,1649.514,1544.500,5860.000,10201.000
random,standard_quicksort,1700,7,10188.214,9447.400,255886.000,511772.000
random,standard_mergesort,1700,7,4364.900,3368.800,22252.000,44504.000
random,ternary_string_quicksort,1700,7,1755.429,1505.400,19867.000,21139.000
random,lcp_string_mergesort,1700,7,45158.786,43847.900,14576.000,29152.000
random,msd_radix_sort,1700,7,3079.786,2995.300,0.000,7610.000
random,msd_radix_sort_with_switch,1700,7,1108.929,1028.400,6193.000,10800.000
random,standard_quicksort,1800,7,6918.957,6057.100,273849.000,547698.000
random,standard_mergesort,1800,7,2738.286,2321.200,23900.000,47800.000
random,ternary_string_quicksort,1800,7,1399.529,1545.100,19388.000,20753.000
random,lcp_string_mergesort,1800,7,43260.014,42759.700,15615.000,31230.000
random,msd_radix_sort,1800,7,3019.614,2799.600,0.000,8106.000
random,msd_radix_sort_with_switch,1800,7,1010.800,1051.000,6792.000,11677.000
random,standard_quicksort,1900,7,7651.600,7283.600,291617.000,583234.000
random,standard_mergesort,1900,7,2415.686,2178.800,25495.000,50990.000
random,ternary_string_quicksort,1900,7,1130.657,967.000,19884.000,21342.000
random,lcp_string_mergesort,1900,7,52002.043,51817.400,16568.000,33136.000
random,msd_radix_sort,1900,7,2930.386,2772.400,0.000,8626.000
random,msd_radix_sort_with_switch,1900,7,1158.186,1104.500,7597.000,12776.000
random,standard_quicksort,2000,7,9813.871,9243.800,307598.000,615196.000
random,standard_mergesort,2000,7,2399.986,2056.900,27182.000,54364.000
random,ternary_string_quicksort,2000,7,1256.971,1057.100,23858.000,25404.000
random,lcp_string_mergesort,2000,7,58420.814,58026.800,17667.000,35334.000
random,msd_radix_sort,2000,7,4818.971,4505.800,0.000,9138.000
random,msd_radix_sort_with_switch,2000,7,1239.800,1165.800,8191.000,13648.000
random,standard_quicksort,2100,7,16270.043,15330.300,324907.000,649814.000
random,standard_mergesort,2100,7,2460.700,2448.200,28865.000,57730.000
random,ternary_string_quicksort,2100,7,1189.486,1001.900,21684.000,23296.000
random,lcp_string_mergesort,2100,7,67235.900,66431.200,18641.000,37282.000
random,msd_radix_sort,2100,7,7460.843,7052.700,0.000,9662.000
random,msd_radix_sort_with_switch,2100,7,1550.443,1301.400,8673.000,14392.000
random,standard_quicksort,2200,7,15051.843,14855.400,345951.000,691902.000
random,standard_mergesort,2200,7,2928.343,2514.700,30484.000,60968.000
random,ternary_string_quicksort,2200,7,1713.314,1320.600,24401.000,26085.000
random,lcp_string_mergesort,2200,7,74213.843,71808.400,19573.000,39146.000
random,msd_radix_sort,2200,7,8932.114,10200.300,0.000,10190.000
random,msd_radix_sort_with_switch,2200,7,1261.100,1242.700,9570.000,15579.000
random,standard_quicksort,2300,7,25530.771,25352.900,364584.000,729168.000
random,standard_mergesort,2300,7,3214.543,2734.100,32258.000,64516.000
random,ternary_string_quicksort,2300,7,1329.229,1330.300,27500.000,29273.000
random,lcp_string_mergesort,2300,7,85053.814,86091.200,20698.000,41396.000
random,msd_radix_sort,2300,7,11349.886,10947.400,0.000,10722.000
random,msd_radix_sort_with_switch,2300,7,1228.443,1167.400,9665.000,15961.000
random,standard_quicksort,2400,7,898594.971,897479.200,373741.000,747482.000
random,standard_mergesort,2400,7,2692.257,2542.400,33948.000,67896.000
random,ternary_string_quicksort,2400,7,1381.686,1314.600,26522.000,28380.000
random,lcp_string_mergesort,2400,7,93061.814,91892.800,21664.000,43328.000
random,msd_radix_sort,2400,7,356653.957,356871.700,0.000,11262.000
random,msd_radix_sort_with_switch,2400,7,1952.043,1919.200,10353.000,16932.000
random,standard_quicksort,2500,7,927308.714,878549.700,395945.000,791890.000
random,standard_mergesort,2500,7,2733.043,2633.700,35707.000,71414.000
random,ternary_string_quicksort,2500,7,2009.900,1622.600,28477.000,30413.000
random,lcp_string_mergesort,2500,7,90942.086,90285.800,22754.000,45508.000
random,msd_radix_sort,2500,7,405639.486,368306.100,0.000,11804.000
random,msd_radix_sort_with_switch,2500,7,2555.257,2324.500,10937.000,17793.000
random,standard_quicksort,2600,7,918291.914,890084.300,402671.000,805342.000
random,standard_mergesort,2600,7,3437.900,3238.000,37507.000,75014.000
random,ternary_string_quicksort,2600,7,2313.629,2680.400,28850.000,30872.000
random,lcp_string_mergesort,2600,7,107380.171,96017.600,23799.000,47598.000
random,msd_radix_sort,2600,7,365996.029,360893.300,0.000,12344.000
random,msd_radix_sort_with_switch,2600,7,3039.343,2103.100,11489.000,18626.000
random,standard_quicksort,2700,7,947321.943,941317.600,428558.000,857116.000
random,standard_mergesort,2700,7,4522.714,5243.400,39246.000,78492.000
random,ternary_string_quicksort,2700,7,2140.829,1874.700,33855.000,35943.000
random,lcp_string_mergesort,2700,7,84213.600,85117.100,24881.000,49762.000
random,msd_radix_sort,2700,7,343321.743,338033.400,0.000,12870.000
