N	S_hat
100	0.90000000000000008753
600	0.97916666666666676182
1100	0.98068181818181827714
1600	0.96953125000000009421
2100	0.97797619047619057124
2600	0.96730769230769240161
3100	0.96209677419354848053
3600	0.96145833333333342673
4100	0.95701219512195131247
4600	0.95190217391304357081
5100	0.95122549019607852377
5600	0.94821428571428580643
6100	0.95000000000000009231
6600	0.94943181818181827405
7100	0.95000000000000009231
7600	0.95197368421052640832
8100	0.95354938271604947536
8600	0.95203488372093032506
9100	0.95164835164835174077
9600	0.95065104166666675905
10100	0.95000000000000009231
10600	0.94952830188679254514
11100	0.94831081081081090297
11600	0.94827586206896560936
12100	0.94710743801652901762
12600	0.94742063492063501268
13100	0.94685114503816803091
13600	0.94742647058823538625
14100	0.94725177304964548210
14600	0.94606164383561653031
15100	0.94403973509933784006
15600	0.94326923076923086090
16100	0.94324534161490692394
16600	0.94337349397590370613
17100	0.94415204678362582276
17600	0.94531250000000009189
18100	0.94461325966850837911
18600	0.94569892473118288758
19100	0.94561518324607339033
19600	0.94528061224489805107
20100	0.94440298507462695744
20600	0.94453883495145640243
21100	0.94449052132701430976
21600	0.94502314814814824000
22100	0.94428733031674217324
22600	0.94474557522123902984
23100	0.94480519480519489697
23600	0.94496822033898314269
24100	0.94517634854771793415
24600	0.94476626016260171781
25100	0.94432270916334670529
25600	0.94458007812500009178
26100	0.94511494252873572407
26600	0.94506578947368430240
27100	0.94478782287822887412
27600	0.94519927536231893245
28100	0.94470640569395026979
28600	0.94510489510489519672
29100	0.94454467353951899214
29600	0.94404560810810819987
30100	0.94435215946843862998
30600	0.94460784313725499380
31100	0.94489549839228305003
31600	0.94521360759493680065
32100	0.94540498442367610434
32600	0.94566717791411052129
33100	0.94516616314199404953
33600	0.94531250000000009189
34100	0.94497800586510273112
34600	0.94497832369942205715
35100	0.94533475783475792660
35600	0.94518960674157312559
36100	0.94466759002770092282
36600	0.94497950819672140333
37100	0.94474393530997313761
37600	0.94408244680851073003
38100	0.94461942257217856953
38600	0.94472150259067366697
39100	0.94507672634271108926
39600	0.94479166666666675851
40100	0.94454488778054872022
40600	0.94399630541871930349
41100	0.94403892944038938611
41600	0.94408052884615393792
42100	0.94406175771971505615
42600	0.94421948356807520910
43100	0.94344547563805113578
43600	0.94363532110091752293
44100	0.94373582766439918464
44600	0.94366591928251130245
45100	0.94384700665188479238
45600	0.94385964912280710920
46100	0.94389913232104130652
46600	0.94404506437768249516
47100	0.94394904458598735285
47600	0.94382878151260513375
48100	0.94399688149688158864
48600	0.94375000000000009169
49100	0.94424643584521394100
49600	0.94367439516129041424
50100	0.94396207584830348498
50600	0.94370059288537558572
51100	0.94398238747553825216
51600	0.94370155038759699092
52100	0.94397792706333982299
52600	0.94375000000000009169
53100	0.94357344632768370751
53600	0.94351679104477621113
54100	0.94343807763401118231
54600	0.94361263736263745433
55100	0.94326225045372059978
55600	0.94332284172661879669
56100	0.94364973262032094726
56600	0.94357332155477040969
57100	0.94376094570928205319
57600	0.94359809027777786952
58100	0.94371772805507754436
58600	0.94385665529010248084
59100	0.94361252115059230831
59600	0.94385486577181217229
60100	0.94400998336106498358
60600	0.94422442244224431617
61100	0.94400572831423904425
61600	0.94423701298701307876
62100	0.94440418679549123504
62600	0.94424920127795536334
63100	0.94429477020602227877
63600	0.94443789308176109804
64100	0.94455928237129494358
64600	0.94456269349845210418
65100	0.94456605222734264169
65600	0.94460746951219521370
66100	0.94428895612708027335
66600	0.94403153153153162333
67100	0.94405737704918041959
67600	0.94371301775147938164
68100	0.94352055800293694926
68600	0.94349489795918376514
69100	0.94361432706222874583
69600	0.94353448275862078135
70100	0.94322396576319552671
70600	0.94316572237960349110
71100	0.94293248945147688488
71600	0.94303421787709506365
72100	0.94289181692094322615
72600	0.94288911845730036709
73100	0.94304035567715467446
73600	0.94313858695652183077
74100	0.94345479082321196751
74600	0.94363270777479901937
75100	0.94347536617842885331
75600	0.94332010582010591179
76100	0.94347897503285160282
76600	0.94337467362924291148
77100	0.94322308690012979330
77600	0.94315399484536091633
78100	0.94321382842509612237
78600	0.94328880407124691103
79100	0.94320480404551210174
79600	0.94331030150753778012
80100	0.94322721598002506042
80600	0.94323821339950381369
81100	0.94318742293464867364
81600	0.94313725490196087596
82100	0.94308769792935453748
82600	0.94293280871670711343
83100	0.94317087845968721561
83600	0.94333133971291875197
84100	0.94356420927467310000
84600	0.94360224586288425240
85100	0.94349294947121043245
85600	0.94350175233644868983
86100	0.94378629500580729265
86600	0.94393764434180147738
87100	0.94411595866819756587
87600	0.94443493150684940687
88100	0.94442395005675378077
88600	0.94449774266365697664
89100	0.94459876543209885723
89600	0.94441964285714294889
90100	0.94458934517203116838
90600	0.94457781456953651559
91100	0.94470362239297484485
91600	0.94478711790393022279
92100	0.94467969598262767052
92600	0.94489740820734350430
93100	0.94483082706766926477
93600	0.94473824786324795506
94100	0.94480605738575992175
94600	0.94470137420718825247
95100	0.94472923238696118536
95600	0.94475679916318000811
96100	0.94468002081165461831
96600	0.94455227743271230709
97100	0.94468331616889813504
97600	0.94474897540983615742
98100	0.94485219164118255865
98600	0.94458671399594329666
99100	0.94475277497477304844
99600	0.94491716867469888695
