N	S_hat
100	0.87499223594996217585
600	0.93980647564995937402
1100	0.96337529008632199161
1600	0.91752658075308533717
2100	0.91665853289996037469
2600	0.96099574632111230425
3100	0.96907742261124843138
3600	0.95060884893329224046
4100	0.93190230007678898398
4600	0.91514888445974304862
5100	0.89977415112937286925
5600	0.92707510713745992439
6100	0.94990049658684418365
6600	0.95748308647723133724
7100	0.95441250149784606660
7600	0.95814208293351121301
8100	0.96021095851847701046
8600	0.95525638162495870616
9100	0.96473502938072752726
9600	0.95904820306089604226
10100	0.94622372710540464115
10600	0.94836684693109107950
11100	0.96170317825130977881
11600	0.96215621347754461487
12100	0.97060663087929688564
12600	0.96449761458329164005
13100	0.95662849206064566978
13600	0.95291229617753233689
14100	0.95221771303932053971
14600	0.94957300491982196558
15100	0.94581574290691275663
15600	0.94416897255284380086
16100	0.94866307983256768684
16600	0.94937243271411558707
17100	0.94890321104645020892
17600	0.94846064970081127266
18100	0.95126534675714119921
18600	0.95026038527899118027
19100	0.95083507664603219574
19600	0.95584469312674439506
20100	0.95625187975294373779
20600	0.95616735169073536587
21100	0.95654759443502974042
21600	0.95781043112218081803
22100	0.95901612587778659790
22600	0.96188920333535664949
23100	0.96127093165450390070
23600	0.96356254231966173698
24100	0.96454884101261390618
24600	0.96470462870544610264
25100	0.95865683221609401734
25600	0.96120023836343501168
26100	0.96290120473846412284
26600	0.96197976817890578396
27100	0.96180983377689569229
27600	0.96129380511571931478
28100	0.95733630560440701487
28600	0.95963600702670676860
29100	0.95584298856542259835
29600	0.95119276100266158457
30100	0.94960397699995895051
30600	0.94933798148819425615
31100	0.94970575663307791719
31600	0.95098488091467408070
32100	0.94949832457706175877
32600	0.94686446800992839408
33100	0.94254786343183236726
33600	0.94298931777808423643
34100	0.94341782624907945254
34600	0.94411493667047941903
35100	0.94590012211748047814
35600	0.94599659966625124127
36100	0.94635971595203665312
36600	0.94830670380733605578
37100	0.94836684693109107950
37600	0.94816682305807071477
38100	0.94720652663932913292
38600	0.94753045240177251167
39100	0.94933798148819425615
39600	0.94938130651473168740
40100	0.94602928918724090058
40600	0.94491498715340742907
41100	0.94477399037149200603
41600	0.94370156217039189795
42100	0.94357832570375968598
42600	0.94208866718869166971
43100	0.94198700111550452338
43600	0.94523243837713803852
44100	0.94575880378567340248
44600	0.94779926305690970120
45100	0.94893220562989246070
45600	0.95238555506541935659
46100	0.95260060973390676021
46600	0.95197653138761979222
47100	0.95033362923180605275
47600	0.95035921425657656489
48100	0.94957577373363878534
48600	0.94960862918483549358
49100	0.95379895916971436996
49600	0.95339655816770072205
50100	0.95533084444037786464
50600	0.95261561393059123137
51100	0.95318788913009578197
51600	0.95111128489995888543
52100	0.95056738108959422558
52600	0.94966415469178404297
53100	0.94951030249769906755
53600	0.94917793754688061067
54100	0.94831259583239893243
54600	0.94942177494611280458
55100	0.94874637078099347036
55600	0.94738367993143386670
56100	0.94968458170049370633
56600	0.94954006288405789322
57100	0.95229258137149999013
57600	0.95347822933667753301
58100	0.95246812144333232070
58600	0.95247069142751855360
59100	0.95247321792635476561
59600	0.95166008660180449920
60100	0.95134578288440147089
60600	0.95232011598807764501
61100	0.95073260771067903268
61600	0.95216958143689065783
62100	0.95342685935503124905
62600	0.95233446766864892838
63100	0.95202976332713792646
63600	0.95295276011741163592
64100	0.95188962954098849285
64600	0.95294992054268326412
65100	0.95235116720479754153
65600	0.95146513462038569939
66100	0.95235749332257607804
66600	0.95338243126279662503
67100	0.95352275290390811049
67600	0.95322954304344991805
68100	0.95251235083343900102
68600	0.95279766800965269005
69100	0.95406373242911939443
69600	0.95489254868357941158
70100	0.95529347301051505267
70600	0.95500018198189922714
71100	0.95525797161219499305
71600	0.95524059278522406997
72100	0.95374018876160925713
72600	0.95346567492557861826
73100	0.95412590069995875506
73600	0.95556972144656195350
74100	0.95646924577526229742
74600	0.95683541798400689531
75100	0.95616106742512511180
75600	0.95549563684718091810
76100	0.95522221465876291262
76600	0.95558696612521978843
77100	0.95455991153497819155
77600	0.95442308898436595873
78100	0.95503491737204578363
78600	0.95526788779213427821
79100	0.95525209408668437013
79600	0.95560291095372753542
80100	0.95619209804602608142
80600	0.95689459715895367262
81100	0.95650952879089576667
81600	0.95743976145069390583
82100	0.95693764497383195872
82600	0.95526459335080616349
83100	0.95712147109327992521
83600	0.95697914801066437330
84100	0.95660731305138552052
84600	0.95784873741041958708
85100	0.95770464995019361800
85600	0.95892516201006368777
86100	0.95900233061337317842
86600	0.95862954872680613546
87100	0.96027021378715711171
87600	0.96133723335852008709
88100	0.96161966755807420866
88600	0.96058214616327676038
89100	0.96108387757167562600
89600	0.95973540761128663752
90100	0.95980465393697293795
90600	0.96040967767379954300
91100	0.96090134071148425798
91600	0.96085695197173794010
92100	0.96197421235517014212
92600	0.96139955658672949894
93100	0.96062221965672539158
93600	0.95995705658233029789
94100	0.95960891339039422476
94600	0.95823674042723130462
95100	0.95769684149775039878
95600	0.95756937397778287393
96100	0.95926423647560889716
96600	0.95832482984995857357
97100	0.95689447293440765699
97600	0.95607644360743817896
98100	0.95516764866754280791
98600	0.95338065465406629230
99100	0.95386809173018076419
99600	0.95474108208685631887
